,split_perc,split_conn,filename,feat_name,run,f1_dev,recall_dev,precision_dev,f1_dev_0,recall_dev_0,prec_dev_0,f1_dev_1,recall_dev_1,prec_dev_1,f1_test,recall_test,precision_test,f1_test_0,recall_test_0,prec_test_0,f1_test_1,recall_test_1,prec_test_1
218,40,attack_support,perspectrum_all.csv,xlm-roberta-base,0,0.5744962216180074,0.577463232002149,0.5801082829826145,0.5334045964724746,0.4873046875,0.58913813459268,0.6155878467635403,0.667621776504298,0.571078431372549,0.582868776748315,0.5829513972646798,0.5838971468886575,0.5446605795950774,0.5268817204301075,0.5636811832374692,0.6210769739015527,0.6390210740992522,0.6041131105398457
219,40,attack_support,perspectrum_all.csv,xlm-roberta-large,0,0.7118179491920829,0.7118912107509552,0.7127161811661376,0.7011033099297893,0.6826171875,0.7206185567010309,0.7225325884543763,0.7411652340019103,0.7048138056312443,0.7068197673618822,0.7063723539897309,0.7081571712958574,0.6816568047337279,0.663594470046083,0.7007299270072993,0.7319827299900366,0.7491502379333786,0.7155844155844155
220,40,attack_support,perspectrum_all.csv,roberta-base,0,0.632532327076169,0.6325583325871538,0.6325420140637532,0.6304031083050025,0.6337890625,0.6270531400966184,0.6346615458473356,0.6313276026743075,0.638030888030888,0.6528911197243812,0.6528979105512515,0.6528844999242982,0.6318618042226488,0.6321044546850998,0.6316193399846508,0.6739204352261136,0.6736913664174031,0.6741496598639456
221,40,attack_support,perspectrum_all.csv,roberta-large,0,0.7806492100670953,0.7806050210422636,0.7809792659008126,0.7752475247524753,0.7646484375,0.786144578313253,0.7860508953817154,0.7965616045845272,0.7758139534883721,0.7827102868139003,0.7817672649200467,0.7856150499618935,0.7618667730355004,0.7334869431643625,0.7925311203319502,0.8035538005923002,0.8300475866757308,0.7786989795918368
222,40,attack_support,perspectrum_all.csv,xlm-roberta-base,0,0.5744962216180074,0.577463232002149,0.5801082829826145,0.5334045964724746,0.4873046875,0.58913813459268,0.6155878467635403,0.667621776504298,0.571078431372549,0.582868776748315,0.5829513972646798,0.5838971468886575,0.5446605795950774,0.5268817204301075,0.5636811832374692,0.6210769739015527,0.6390210740992522,0.6041131105398457
223,40,attack_support,perspectrum_all.csv,xlm-roberta-large,0,0.7118179491920829,0.7118912107509552,0.7127161811661376,0.7011033099297893,0.6826171875,0.7206185567010309,0.7225325884543763,0.7411652340019103,0.7048138056312443,0.7068197673618822,0.7063723539897309,0.7081571712958574,0.6816568047337279,0.663594470046083,0.7007299270072993,0.7319827299900366,0.7491502379333786,0.7155844155844155
224,40,attack_support,perspectrum_all.csv,roberta-base,0,0.632532327076169,0.6325583325871538,0.6325420140637532,0.6304031083050025,0.6337890625,0.6270531400966184,0.6346615458473356,0.6313276026743075,0.638030888030888,0.6528911197243812,0.6528979105512515,0.6528844999242982,0.6318618042226488,0.6321044546850998,0.6316193399846508,0.6739204352261136,0.6736913664174031,0.6741496598639456
225,40,attack_support,perspectrum_all.csv,roberta-large,0,0.7806492100670953,0.7806050210422636,0.7809792659008126,0.7752475247524753,0.7646484375,0.786144578313253,0.7860508953817154,0.7965616045845272,0.7758139534883721,0.7827102868139003,0.7817672649200467,0.7856150499618935,0.7618667730355004,0.7334869431643625,0.7925311203319502,0.8035538005923002,0.8300475866757308,0.7786989795918368
226,40,attack_support,perspectrum_all.csv,xlm-roberta-base,0,0.5744962216180074,0.577463232002149,0.5801082829826145,0.5334045964724746,0.4873046875,0.58913813459268,0.6155878467635403,0.667621776504298,0.571078431372549,0.582868776748315,0.5829513972646798,0.5838971468886575,0.5446605795950774,0.5268817204301075,0.5636811832374692,0.6210769739015527,0.6390210740992522,0.6041131105398457
227,40,attack_support,perspectrum_all.csv,xlm-roberta-large,0,0.7118179491920829,0.7118912107509552,0.7127161811661376,0.7011033099297893,0.6826171875,0.7206185567010309,0.7225325884543763,0.7411652340019103,0.7048138056312443,0.7068197673618822,0.7063723539897309,0.7081571712958574,0.6816568047337279,0.663594470046083,0.7007299270072993,0.7319827299900366,0.7491502379333786,0.7155844155844155
